model;name;logo;geo;lma;aa;lb
gemini-3-1-pro;Gemini 3.1 Pro (Preview);gemini;US;1500;57;
gemini-3-pro;Gemini 3 Pro;gemini;US;1486;48;73.39
gemini-3-flash;Gemini 3 Flash;gemini;US;1474;46;72.4
gemini-2-5-pro;Gemini 2.5 Pro;gemini;US;1449;34;58.33
gemini-2-5-flash;Gemini 2.5 Flash;gemini;US;1411;31;53.09
claude-opus-4-6-thinking;Claude Opus 4.6 (Thinking);claude;US;1504;53;76.33
claude-sonnet-4-6-thinking;Claude Sonnet 4.6 (Thinking);claude;US;;51;75.47
claude-opus-4-5-thinking;Claude Opus 4.5 (Thinking);claude;US;1471;50;75.96
claude-sonnet-4-5-thinking;Claude Sonnet 4.5 (Thinking);claude;US;1450;43;68.19
claude-opus-4-1;Claude Opus 4.1;claude;US;1449;32;61.81
claude-haiku-4-5;Claude Haiku 4.5;claude;US;1405;37;61.32
gpt-5.2;GPT-5.2 (Thinking);gpt;US;1441;51;74.84
gpt-5-1;GPT-5.1 (Thinking);gpt;US;1458;48;72.04
gpt-5-high;GPT-5 (Thinking);gpt;US;1434;45;70.48
o3-2025-04-16;o3;gpt;US;1432;41;
gpt-5-mini;GPT-5 Mini;gpt;US;1390;41;65.91
gpt-5-nano;GPT-5 Nano;gpt;US;1338;27;48.62
gpt-oss;GPT-OSS;gpt;US;1354;33;46.09
glm-5;GLM 5;zai;China;1455;50;68.85
glm-4-7;GLM 4.7;zai;China;1441;42;58.09
glm-4-6;GLM 4.6;zai;China;1425;33;55.19
glm-4-5-air;GLM 4.5 Air;zai;China;;;
qwen3-5;Qwen 3.5;qwen;China;1450;45;
qwen3-max;Qwen 3 Max;qwen;China;1425;29;52.97
deepseek-v3-2-exp-thinking;DeepSeek v3.2 (Thinking);deepseek;China;1420;42;62.2
grok-4-1-thinking;Grok 4.1 (Thinking);grok;US;1474;;
grok-4-1-fast;Grok 4.1 Fast;grok;US;1431;39;59.99
grok-4;Grok 4;grok;US;;;
mistral-medium-2508;Mistral;mistral;France;;;
magistral-medium;Magistral Medium;mistral;France;1305;27;
llama-4-maverick-17b-128e-instruct;Llama 4 Maverick;meta;US;;;
nemotron-ultra-v1;Nemotron Ultra v1;nemotron;US;1347;15;
nemotron-super-v1-5;Nemotron Super v1.5;nemotron;US;1341;19;
nemotron-3-nano;Nemotron 3 Nano;nemotron;US;1317;24;
minimax-m2-5;MiniMax M2.5;minimax;China;1401;42;60.14
ernie-5.0;ERNIE 5.0;baidu;China;1453;29;
kimi-k2-5-thinking;Kimi K2.5 (Thinking);moonshot;China;1449;47;69.07
kimi-k2-thinking;Kimi-K2 (Thinking);moonshot;China;1430;41;61.59
